Date,Open,High,Low,Close,Adj Close,Volume
2018-09-21,5.62,5.67,5.6,5.65,5.65,14451773
2018-09-20,5.57,5.63,5.54,5.56,5.56,190488964
2018-09-19,5.48,5.57,5.46,5.54,5.54,254682308
2018-09-18,5.4,5.48,5.36,5.46,5.46,245275874
2018-09-17,5.49,5.49,5.39,5.42,5.42,173772691
2018-09-14,5.56,5.56,5.46,5.49,5.49,260627119
2018-09-13,5.51,5.55,5.4,5.5,5.5,305369658
2018-09-12,5.44,5.45,5.32,5.35,5.35,317860589
2018-09-11,5.55,5.56,5.45,5.46,5.46,276842095
2018-09-10,5.6,5.64,5.5,5.55,5.55,234515610
2018-09-07,5.65,5.73,5.59,5.64,5.64,333386494
2018-09-06,5.69,5.7,5.58,5.65,5.65,302557730
2018-09-05,5.73,5.78,5.67,5.67,5.67,306973428
2018-09-04,5.72,5.81,5.72,5.79,5.79,121416269
2018-09-03,5.74,5.8,5.72,5.77,5.77,178329511
2018-08-31,5.7,5.81,5.7,5.78,5.78,247744568
2018-08-30,5.9,5.9,5.78,5.8,5.8,153447038
2018-08-29,5.85,5.9,5.84,5.87,5.87,146490879
2018-08-28,5.94,5.97,5.81,5.88,5.88,244600884
2018-08-27,5.83,5.94,5.78,5.88,5.88,273169088
2018-08-24,5.66,5.8,5.66,5.73,5.73,196614658
2018-08-23,5.75,5.79,5.67,5.71,5.71,192893092
2018-08-22,5.69,5.77,5.64,5.75,5.75,261694473
2018-08-21,5.7,5.72,5.67,5.7,5.7,195088452
2018-08-20,5.61,5.7,5.59,5.68,5.68,346252283
2018-08-17,5.68,5.7,5.6,5.62,5.62,271158387
2018-08-16,5.55,5.66,5.5,5.6,5.6,379989343
2018-08-15,5.7,5.71,5.61,5.63,5.63,267216080
2018-08-14,5.76,5.76,5.65,5.71,5.71,232217991
2018-08-13,5.62,5.75,5.62,5.72,5.72,236342765
2018-08-10,5.81,5.85,5.77,5.78,5.78,202938303
2018-08-09,5.74,5.85,5.74,5.83,5.83,240976806
2018-08-08,5.85,5.85,5.75,5.79,5.79,212431504
2018-08-07,5.75,5.83,5.75,5.8,5.8,197492175
2018-08-06,5.71,5.81,5.71,5.75,5.75,274027461
2018-08-03,5.66,5.74,5.62,5.71,5.71,328666477
2018-08-02,5.74,5.78,5.63,5.69,5.69,354963185
2018-08-01,5.81,5.87,5.76,5.79,5.79,214663164
2018-07-31,5.78,5.83,5.77,5.81,5.81,205149793
2018-07-30,5.78,5.86,5.74,5.82,5.82,211288570
2018-07-27,5.8,5.83,5.74,5.82,5.82,207395293
2018-07-26,5.91,5.92,5.78,5.82,5.82,213063850
2018-07-25,5.84,5.89,5.81,5.85,5.85,283610813
2018-07-24,5.66,5.88,5.65,5.82,5.82,536011075
2018-07-23,5.6,5.72,5.58,5.63,5.63,425076897
2018-07-20,5.41,5.63,5.33,5.56,5.56,571023198
2018-07-19,5.48,5.51,5.41,5.41,5.41,279706271
2018-07-18,5.51,5.59,5.45,5.47,5.47,187390642
2018-07-17,5.53,5.55,5.44,5.49,5.49,324667419
2018-07-16,5.63,5.66,5.53,5.58,5.58,156937582
2018-07-13,5.69,5.7,5.59,5.61,5.61,256684995
2018-07-12,5.51,5.73,5.51,5.64,5.64,370384290
2018-07-11,5.44,5.57,5.44,5.56,5.56,298554823
2018-07-10,5.63,5.7,5.63,5.65,5.65,283708159
2018-07-09,5.64,5.71,5.59,5.61,5.61,362423009
2018-07-06,5.53,5.62,5.43,5.53,5.53,280384069
2018-07-05,5.49,5.58,5.46,5.53,5.53,292199047
2018-07-04,5.77,5.88,5.74,5.76,5.470079,366889477
2018-07-03,5.71,5.78,5.61,5.77,5.479576,641665974
2018-06-29,5.73,5.92,5.73,5.87,5.574542,386683896
2018-06-28,5.73,5.78,5.66,5.74,5.451086,485338430
2018-06-27,5.91,5.92,5.75,5.78,5.489073,436080219
2018-06-26,5.91,5.97,5.85,5.92,5.622026,369134706
2018-06-25,6.0,6.05,5.92,5.97,5.669509,345658356
2018-06-22,6.02,6.07,6.0,6.03,5.726489,302755586
