Date,Open,High,Low,Close,Adj Close,Volume
2018-12-07,0.67,0.69,0.67,0.67,0.67,118000
2018-12-06,0.69,0.69,0.69,0.69,0.69,0
2018-12-05,0.7,0.76,0.69,0.69,0.69,390000
2018-12-04,0.67,0.67,0.67,0.67,0.67,0
2018-12-03,0.69,0.69,0.69,0.69,0.69,0
2018-11-30,0.69,0.69,0.69,0.69,0.69,0
2018-11-29,0.7,0.7,0.69,0.69,0.69,176000
2018-11-28,0.7,0.73,0.7,0.71,0.71,82000
2018-11-27,0.7,0.7,0.7,0.7,0.7,96000
2018-11-26,0.7,0.7,0.68,0.68,0.68,40000
2018-11-23,0.69,0.7,0.69,0.7,0.7,120000
2018-11-22,0.7,0.7,0.7,0.7,0.7,52000
2018-11-21,0.7,0.7,0.7,0.7,0.7,82000
2018-11-20,0.69,0.71,0.69,0.7,0.7,68000
2018-11-19,0.71,0.71,0.68,0.69,0.69,242000
2018-11-16,0.69,0.69,0.69,0.7,0.7,2000
2018-11-15,0.73,0.73,0.7,0.7,0.7,550000
2018-11-14,0.74,0.74,0.74,0.74,0.74,0
2018-11-13,0.75,0.75,0.75,0.75,0.75,0
2018-11-12,0.78,0.78,0.75,0.75,0.75,90000
2018-11-09,0.79,0.79,0.76,0.76,0.76,112000
2018-11-08,0.8,0.84,0.71,0.8,0.8,2508000
2018-11-07,0.65,0.83,0.65,0.79,0.79,3900000
2018-11-06,0.62,0.62,0.62,0.62,0.62,0
2018-11-05,0.6,0.6,0.6,0.6,0.6,0
2018-11-02,0.6,0.6,0.58,0.6,0.6,120000
2018-11-01,0.59,0.59,0.57,0.57,0.57,28000
2018-10-31,0.59,0.59,0.59,0.59,0.59,0
2018-10-30,0.56,0.56,0.56,0.59,0.59,16000
2018-10-29,0.63,0.63,0.55,0.59,0.59,446000
2018-10-26,0.63,0.63,0.63,0.63,0.63,0
2018-10-25,0.63,0.63,0.63,0.63,0.63,0
2018-10-24,0.65,0.65,0.65,0.65,0.65,10000
2018-10-23,0.63,0.65,0.62,0.65,0.65,110000
2018-10-22,0.64,0.64,0.64,0.64,0.64,0
2018-10-19,0.6,0.64,0.6,0.64,0.64,58000
2018-10-18,0.62,0.62,0.62,0.62,0.62,0
2018-10-16,0.62,0.63,0.61,0.63,0.63,148000
2018-10-15,0.63,0.63,0.63,0.63,0.63,2000
2018-10-12,0.63,0.63,0.63,0.63,0.63,0
2018-10-11,0.65,0.65,0.64,0.64,0.64,152000
2018-10-10,0.64,0.68,0.64,0.68,0.68,58000
2018-10-09,0.67,0.67,0.67,0.67,0.67,0
2018-10-08,0.69,0.69,0.69,0.69,0.69,0
2018-10-05,0.67,0.7,0.67,0.7,0.7,70000
2018-10-04,0.67,0.67,0.67,0.67,0.67,0
2018-10-03,0.67,0.67,0.67,0.67,0.67,0
2018-10-02,0.69,0.69,0.65,0.67,0.67,26000
2018-09-28,0.66,0.66,0.66,0.66,0.66,0
2018-09-27,0.68,0.72,0.68,0.68,0.68,82000
2018-09-26,0.71,0.71,0.67,0.67,0.67,136000
2018-09-24,0.68,0.7,0.66,0.68,0.68,326000
2018-09-21,0.7,0.7,0.68,0.68,0.68,496000
2018-09-20,0.7,0.7,0.7,0.7,0.7,0
2018-09-19,0.68,0.72,0.68,0.71,0.71,140000
2018-09-18,0.71,0.71,0.68,0.71,0.71,84000
2018-09-17,0.7,0.7,0.7,0.7,0.7,0
2018-09-14,0.71,0.71,0.71,0.71,0.71,110000
2018-09-13,0.69,0.69,0.68,0.68,0.68,220000
2018-09-12,0.7,0.7,0.65,0.68,0.68,342000
2018-09-11,0.7,0.72,0.7,0.72,0.72,148000
2018-09-10,0.71,0.71,0.7,0.7,0.7,228000
2018-09-07,0.73,0.73,0.71,0.71,0.71,100000
2018-09-06,0.72,0.79,0.72,0.73,0.73,190000
2018-09-05,0.78,0.78,0.78,0.78,0.76,0
2018-09-04,0.78,0.78,0.78,0.78,0.76,0
2018-09-03,0.74,0.79,0.72,0.74,0.7210260000000001,1086000
2018-08-31,0.75,0.76,0.75,0.76,0.740513,110000
2018-08-30,0.76,0.76,0.76,0.76,0.740513,0
2018-08-29,0.77,0.78,0.77,0.78,0.76,500000
2018-08-28,0.77,0.77,0.77,0.77,0.750256,0
2018-08-27,0.74,0.77,0.74,0.77,0.750256,528000
2018-08-24,0.75,0.75,0.75,0.75,0.730769,274000
2018-08-23,0.72,0.75,0.72,0.75,0.730769,30000
2018-08-22,0.72,0.72,0.72,0.72,0.701539,96000
2018-08-21,0.72,0.72,0.72,0.72,0.701539,10000
2018-08-20,0.74,0.74,0.74,0.74,0.7210260000000001,20000
2018-08-17,0.74,0.74,0.74,0.74,0.7210260000000001,0
2018-08-16,0.72,0.74,0.72,0.74,0.7210260000000001,44000
2018-08-15,0.74,0.74,0.73,0.73,0.711282,112000
2018-08-14,0.75,0.75,0.75,0.75,0.730769,0
2018-08-13,0.78,0.78,0.75,0.75,0.730769,64000
2018-08-10,0.77,0.77,0.77,0.77,0.750256,0
2018-08-09,0.74,0.78,0.72,0.78,0.76,624000
2018-08-08,0.77,0.78,0.74,0.75,0.730769,530000
2018-08-07,0.76,0.8,0.76,0.77,0.750256,726000
2018-08-06,0.75,0.75,0.73,0.75,0.730769,64000
2018-08-03,0.72,0.8,0.69,0.78,0.76,724000
2018-08-02,0.75,0.75,0.73,0.73,0.711282,292000
2018-08-01,0.75,0.75,0.75,0.75,0.730769,0
2018-07-31,0.76,0.8,0.75,0.77,0.750256,1096000
2018-07-30,0.76,0.76,0.76,0.76,0.740513,0
2018-07-27,0.77,0.77,0.73,0.76,0.740513,554000
2018-07-26,0.77,0.77,0.77,0.77,0.750256,0
2018-07-25,0.78,0.78,0.78,0.78,0.76,0
2018-07-24,0.75,0.78,0.75,0.78,0.76,100000
2018-07-23,0.75,0.76,0.75,0.75,0.730769,388000
2018-07-20,0.75,0.76,0.72,0.75,0.730769,154000
